filename,fold,target,category,esc10,src_file,take
3-170015-A-0.wav,3,0,dog,True,170015,A
5-9032-A-0.wav,5,0,dog,True,9032,A
4-199261-A-0.wav,4,0,dog,True,199261,A
1-32318-A-0.wav,1,0,dog,True,32318,A
4-194754-A-0.wav,4,0,dog,True,194754,A
4-183992-A-0.wav,4,0,dog,True,183992,A
2-122104-B-0.wav,2,0,dog,True,122104,B
4-182395-A-0.wav,4,0,dog,True,182395,A
2-118072-A-0.wav,2,0,dog,True,118072,A
4-184575-A-0.wav,4,0,dog,True,184575,A
3-180977-A-0.wav,3,0,dog,True,180977,A
5-217158-A-0.wav,5,0,dog,True,217158,A
5-208030-A-0.wav,5,0,dog,True,208030,A
3-157695-A-0.wav,3,0,dog,True,157695,A
2-114280-A-0.wav,2,0,dog,True,114280,A
4-191687-A-0.wav,4,0,dog,True,191687,A
1-30226-A-0.wav,1,0,dog,True,30226,A
5-203128-A-0.wav,5,0,dog,True,203128,A
2-117271-A-0.wav,2,0,dog,True,117271,A
5-203128-B-0.wav,5,0,dog,True,203128,B
2-118964-A-0.wav,2,0,dog,True,118964,A
5-212454-A-0.wav,5,0,dog,True,212454,A
1-110389-A-0.wav,1,0,dog,True,110389,A
1-30344-A-0.wav,1,0,dog,True,30344,A
3-144028-A-0.wav,3,0,dog,True,144028,A
1-85362-A-0.wav,1,0,dog,True,85362,A
3-136288-A-0.wav,3,0,dog,True,136288,A
1-59513-A-0.wav,1,0,dog,True,59513,A
2-114587-A-0.wav,2,0,dog,True,114587,A
1-100032-A-0.wav,1,0,dog,True,100032,A
5-213855-A-0.wav,5,0,dog,True,213855,A
4-207124-A-0.wav,4,0,dog,True,207124,A
3-154957-A-1.wav,3,1,rooster,True,154957,A
5-200339-A-1.wav,5,1,rooster,True,200339,A
5-200334-A-1.wav,5,1,rooster,True,200334,A
3-107219-A-1.wav,3,1,rooster,True,107219,A
4-164859-A-1.wav,4,1,rooster,True,164859,A
1-26806-A-1.wav,1,1,rooster,True,26806,A
4-183487-A-1.wav,4,1,rooster,True,183487,A
3-163288-A-1.wav,3,1,rooster,True,163288,A
1-43382-A-1.wav,1,1,rooster,True,43382,A
5-194930-A-1.wav,5,1,rooster,True,194930,A
4-164064-C-1.wav,4,1,rooster,True,164064,C
3-145382-A-1.wav,3,1,rooster,True,145382,A
3-137152-A-1.wav,3,1,rooster,True,137152,A
1-27724-A-1.wav,1,1,rooster,True,27724,A
4-164064-B-1.wav,4,1,rooster,True,164064,B
1-40730-A-1.wav,1,1,rooster,True,40730,A
2-96460-A-1.wav,2,1,rooster,True,96460,A
5-194930-B-1.wav,5,1,rooster,True,194930,B
4-170078-A-1.wav,4,1,rooster,True,170078,A
3-149189-A-1.wav,3,1,rooster,True,149189,A
2-95258-B-1.wav,2,1,rooster,True,95258,B
1-44831-A-1.wav,1,1,rooster,True,44831,A
3-134049-A-1.wav,3,1,rooster,True,134049,A
2-65750-A-1.wav,2,1,rooster,True,65750,A
2-71162-A-1.wav,2,1,rooster,True,71162,A
2-95035-A-1.wav,2,1,rooster,True,95035,A
4-132383-B-2.wav,4,2,pig,False,132383,B
3-233151-A-2.wav,3,2,pig,False,233151,A
1-208757-C-2.wav,1,2,pig,False,208757,C
4-147240-B-2.wav,4,2,pig,False,147240,B
5-103418-A-2.wav,5,2,pig,False,103418,A
5-103420-A-2.wav,5,2,pig,False,103420,A
2-158746-C-2.wav,2,2,pig,False,158746,C
4-250869-A-2.wav,4,2,pig,False,250869,A
5-127990-A-2.wav,5,2,pig,False,127990,A
5-103421-A-2.wav,5,2,pig,False,103421,A
2-166644-A-2.wav,2,2,pig,False,166644,A
1-208757-B-2.wav,1,2,pig,False,208757,B
1-260640-A-2.wav,1,2,pig,False,260640,A
5-117250-A-2.wav,5,2,pig,False,117250,A
1-208757-E-2.wav,1,2,pig,False,208757,E
4-250869-B-2.wav,4,2,pig,False,250869,B
5-103416-A-2.wav,5,2,pig,False,103416,A
5-103415-A-2.wav,5,2,pig,False,103415,A
1-208757-D-2.wav,1,2,pig,False,208757,D
5-194899-A-3.wav,5,3,cow,False,194899,A
4-181955-B-3.wav,4,3,cow,False,181955,B
3-124376-B-3.wav,3,3,cow,False,124376,B
2-103427-A-3.wav,2,3,cow,False,103427,A
5-194899-B-3.wav,5,3,cow,False,194899,B
4-174860-B-3.wav,4,3,cow,False,174860,B
2-117795-A-3.wav,2,3,cow,False,117795,A
2-103423-A-3.wav,2,3,cow,False,103423,A
3-126358-B-3.wav,3,3,cow,False,126358,B
4-213915-B-3.wav,4,3,cow,False,213915,B
4-181955-C-3.wav,4,3,cow,False,181955,C
4-174860-A-3.wav,4,3,cow,False,174860,A
5-194899-D-3.wav,5,3,cow,False,194899,D
1-18755-B-4.wav,1,4,frog,False,18755,B
1-18755-A-4.wav,1,4,frog,False,18755,A
3-70962-B-4.wav,3,4,frog,False,70962,B
5-156026-C-4.wav,5,4,frog,False,156026,C
5-187201-A-4.wav,5,4,frog,False,187201,A
4-99644-C-4.wav,4,4,frog,False,99644,C
1-15689-A-4.wav,1,4,frog,False,15689,A
1-17970-A-4.wav,1,4,frog,False,17970,A
1-56380-A-5.wav,1,5,cat,False,56380,A
2-83934-B-5.wav,2,5,cat,False,83934,B
3-95695-A-5.wav,3,5,cat,False,95695,A
4-120160-A-5.wav,4,5,cat,False,120160,A
2-83934-A-5.wav,2,5,cat,False,83934,A
5-169983-A-5.wav,5,5,cat,False,169983,A
1-79113-A-5.wav,1,5,cat,False,79113,A
5-214759-B-5.wav,5,5,cat,False,214759,B
2-82274-A-5.wav,2,5,cat,False,82274,A
3-95695-B-5.wav,3,5,cat,False,95695,B
3-95698-A-5.wav,3,5,cat,False,95698,A
3-146972-A-5.wav,3,5,cat,False,146972,A
4-161303-B-5.wav,4,5,cat,False,161303,B
4-149940-B-5.wav,4,5,cat,False,149940,B
1-34094-A-5.wav,1,5,cat,False,34094,A
4-133047-B-5.wav,4,5,cat,False,133047,B
3-95694-A-5.wav,3,5,cat,False,95694,A
5-172299-A-5.wav,5,5,cat,False,172299,A
3-146965-A-5.wav,3,5,cat,False,146965,A
2-69131-A-5.wav,2,5,cat,False,69131,A
4-149940-A-5.wav,4,5,cat,False,149940,A
2-82274-B-5.wav,2,5,cat,False,82274,B
5-172639-A-5.wav,5,5,cat,False,172639,A
2-69131-B-5.wav,2,5,cat,False,69131,B
4-133047-A-5.wav,4,5,cat,False,133047,A
